Cycle/PCAM,XAI Method,Sample ID,Continuity,Compactness,Correctness,Consistency,XQS
1,GradCAM,91,1.0,0.221,0.347,0.01,0.471
1,GradCAM,92,1.0,0.256,0.827,0.01,0.36
1,GradCAM,93,1.0,0.272,0.474,0.01,0.452
1,GradCAM,94,0.999,0.189,0.898,0.01,0.325
1,GradCAM,95,0.993,0.302,0.98,0.01,0.331
1,GradCAM,96,1.0,0.437,0.164,0.01,0.571
1,GradCAM,97,0.999,0.245,0.887,0.01,0.342
1,GradCAM,98,1.0,0.311,0.932,0.01,0.347
1,GradCAM,99,0.998,0.262,0.992,0.01,0.319
1,SHAP,0,0.183,0.425,0.946,0.01,0.168
1,SHAP,1,0.42,0.406,0.9,0.01,0.234
1,SHAP,2,0.452,0.463,0.065,0.01,0.465
1,SHAP,3,0.348,0.407,0.088,0.01,0.419
1,SHAP,4,0.154,0.426,0.946,0.01,0.161
1,SHAP,5,0.158,0.398,0.913,0.01,0.163
1,SHAP,6,0.315,0.416,0.121,0.01,0.405
1,SHAP,7,0.209,0.433,0.959,0.01,0.173
1,SHAP,8,0.621,0.461,0.06,0.01,0.508
1,SHAP,9,0.226,0.454,0.889,0.01,0.2
1,SHAP,10,0.26,0.397,0.119,0.01,0.387
1,SHAP,11,0.295,0.5,0.132,0.01,0.418
1,SHAP,12,0.346,0.468,0.059,0.01,0.441
1,SHAP,13,0.23,0.407,0.859,0.01,0.197
1,SHAP,14,0.02,0.422,0.1,0.01,0.338
1,SHAP,15,0.134,0.488,0.956,0.01,0.169
1,SHAP,16,0.384,0.457,0.924,0.01,0.232
1,SHAP,17,0.178,0.42,0.963,0.01,0.161
1,SHAP,18,0.766,0.431,0.904,0.01,0.326
1,SHAP,19,0.47,0.427,0.179,0.01,0.432
1,SHAP,20,0.323,0.397,0.889,0.01,0.21
1,SHAP,21,0.047,0.454,0.955,0.01,0.139
1,SHAP,22,0.181,0.393,0.962,0.01,0.156
1,SHAP,23,0.167,0.415,0.163,0.01,0.357
1,SHAP,24,0.153,0.408,0.112,0.01,0.365
1,SHAP,25,0.313,0.413,0.13,0.01,0.401
1,SHAP,26,0.07,0.382,0.939,0.01,0.131
1,SHAP,27,0.53,0.474,0.106,0.01,0.477
1,SHAP,28,0.444,0.4,0.824,0.01,0.258
1,SHAP,29,0.115,0.493,0.834,0.01,0.196
1,SHAP,30,0.422,0.424,0.134,0.01,0.431
1,SHAP,31,0.42,0.415,0.092,0.01,0.438
1,SHAP,32,0.587,0.447,0.218,0.01,0.456
1,SHAP,33,0.241,0.418,0.115,0.01,0.388
1,SHAP,34,0.303,0.445,0.158,0.01,0.4
1,SHAP,35,0.235,0.462,0.106,0.01,0.4
1,SHAP,36,0.266,0.438,0.126,0.01,0.397
1,SHAP,37,0.373,0.49,0.079,0.01,0.449
1,SHAP,38,0.244,0.401,0.251,0.01,0.351
1,SHAP,39,0.147,0.387,0.943,0.01,0.15
1,SHAP,40,0.181,0.389,0.877,0.01,0.176
1,SHAP,41,0.341,0.419,0.906,0.01,0.216
1,SHAP,42,0.338,0.424,0.093,0.01,0.42
1,SHAP,43,0.361,0.517,0.93,0.01,0.24
1,SHAP,44,0.31,0.42,0.935,0.01,0.201
1,SHAP,45,0.222,0.437,0.926,0.01,0.186
1,SHAP,46,0.151,0.457,0.946,0.01,0.168
1,SHAP,47,0.25,0.404,0.131,0.01,0.383
1,SHAP,48,0.131,0.41,0.96,0.01,0.148
1,SHAP,49,0.199,0.416,0.132,0.01,0.373
1,SHAP,50,0.24,0.447,0.103,0.01,0.398
1,SHAP,51,0.142,0.465,0.947,0.01,0.168
1,SHAP,52,0.616,0.428,0.069,0.01,0.496
1,SHAP,53,0.099,0.483,0.941,0.01,0.163
1,SHAP,54,0.165,0.435,0.918,0.01,0.173
1,SHAP,55,0.327,0.386,0.853,0.01,0.217
1,SHAP,56,0.253,0.396,0.969,0.01,0.172
1,SHAP,57,0.128,0.439,0.307,0.01,0.318
1,SHAP,58,0.19,0.444,0.903,0.01,0.185
1,SHAP,59,0.197,0.398,0.133,0.01,0.368
1,SHAP,60,0.372,0.416,0.146,0.01,0.413
1,SHAP,61,0.206,0.456,0.938,0.01,0.184
1,SHAP,62,0.2,0.478,0.952,0.01,0.184
1,SHAP,63,0.039,0.408,0.151,0.01,0.326
1,SHAP,64,0.5,0.556,0.042,0.01,0.506
1,SHAP,65,0.149,0.477,0.198,0.01,0.36
1,SHAP,66,0.39,0.451,0.041,0.01,0.452
1,SHAP,67,0.169,0.479,0.894,0.01,0.191
1,SHAP,68,0.224,0.46,0.17,0.01,0.381
1,SHAP,69,0.211,0.464,0.94,0.01,0.186
1,SHAP,70,0.136,0.454,0.953,0.01,0.162
1,SHAP,71,0.242,0.394,0.785,0.01,0.215
1,SHAP,72,0.199,0.408,0.969,0.01,0.162
1,SHAP,73,0.027,0.395,0.846,0.01,0.147
1,SHAP,74,0.108,0.412,0.899,0.01,0.158
1,SHAP,75,0.17,0.45,0.144,0.01,0.371
1,SHAP,76,0.593,0.407,0.115,0.01,0.474
1,SHAP,77,0.156,0.402,0.071,0.01,0.374
1,SHAP,78,0.188,0.453,0.176,0.01,0.369
